/api # node monitor.cjs 
2025-09-27T16:38:20.800Z | RSS: 40.28 MB | HeapUsed: 3.63 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:38:30.810Z | RSS: 40.28 MB | HeapUsed: 3.63 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:38:40.820Z | RSS: 40.28 MB | HeapUsed: 3.64 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:38:50.830Z | RSS: 40.28 MB | HeapUsed: 3.64 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:39:00.840Z | RSS: 40.28 MB | HeapUsed: 3.64 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:39:10.848Z | RSS: 40.28 MB | HeapUsed: 3.64 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:39:20.856Z | RSS: 40.28 MB | HeapUsed: 3.64 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:39:30.864Z | RSS: 40.28 MB | HeapUsed: 3.64 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:39:40.872Z | RSS: 40.28 MB | HeapUsed: 3.65 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:39:50.880Z | RSS: 40.28 MB | HeapUsed: 3.65 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:40:00.888Z | RSS: 40.28 MB | HeapUsed: 3.65 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:40:10.896Z | RSS: 40.28 MB | HeapUsed: 3.65 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:40:20.904Z | RSS: 40.28 MB | HeapUsed: 3.65 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:40:30.912Z | RSS: 40.28 MB | HeapUsed: 3.65 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:40:40.912Z | RSS: 40.28 MB | HeapUsed: 3.66 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:40:50.921Z | RSS: 40.28 MB | HeapUsed: 3.66 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:41:00.924Z | RSS: 40.28 MB | HeapUsed: 3.66 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:41:10.932Z | RSS: 40.28 MB | HeapUsed: 3.66 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:41:20.940Z | RSS: 40.28 MB | HeapUsed: 3.66 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:41:30.948Z | RSS: 40.28 MB | HeapUsed: 3.66 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:41:40.957Z | RSS: 40.28 MB | HeapUsed: 3.67 MB | HeapTotal: 4.23 MB | External: 1.35 MB
